Frame,Right_Shoulder_X,Right_Shoulder_Y,Right_Elbow_X,Right_Elbow_Y,Right_Wrist_X,Right_Wrist_Y,Right_Angle,Left_Shoulder_X,Left_Shoulder_Y,Left_Elbow_X,Left_Elbow_Y,Left_Wrist_X,Left_Wrist_Y,Left_Angle
30,0.351725101,0.713534594,0.085967734,0.742292285,0.281003416,0.439908147,51.00229928,0.67265898,0.724686444,0.941619873,0.754333556,0.767050683,0.470589012,52.10854775
31,0.351876497,0.71392101,0.083760612,0.749641299,0.277512997,0.442690343,50.15055949,0.672886908,0.725097299,0.942139626,0.756866634,0.768394589,0.473659873,51.74196372
32,0.351885498,0.714075625,0.083319634,0.754470825,0.273817331,0.443587661,49.94779247,0.673048317,0.725881219,0.942553818,0.760234773,0.772146404,0.478513449,51.56687025
33,0.35189423,0.714223862,0.083361089,0.764380515,0.262261629,0.454391032,49.43017293,0.674631655,0.726907969,0.944328904,0.770608962,0.776762366,0.487495571,50.17589947
34,0.352134973,0.713760257,0.083395168,0.771331429,0.25752598,0.462882906,48.46212491,0.674697757,0.726985633,0.945625901,0.775789022,0.778867543,0.495230764,49.06216166
35,0.352193832,0.713718414,0.082936235,0.772505879,0.253175378,0.463642538,48.82113473,0.67484206,0.72679013,0.945477366,0.781327844,0.780309141,0.495953649,48.54519494
36,0.348055631,0.713675916,0.081371844,0.774441063,0.249733165,0.46801433,48.37813466,0.674846292,0.726832211,0.945770383,0.786012471,0.781721354,0.499252498,47.90502756
37,0.347763866,0.713709891,0.081182733,0.776460052,0.24926801,0.468843758,48.10162255,0.675413966,0.726749122,0.945738971,0.787275136,0.783765972,0.502337277,47.76349327
38,0.347796261,0.713861525,0.080881253,0.776235461,0.249482661,0.469139844,48.07925633,0.675628722,0.727062047,0.945713341,0.786751211,0.783827126,0.504865348,47.66922507
39,0.347870797,0.715398967,0.079957955,0.77757585,0.247178003,0.470517725,48.3620029,0.676069319,0.728393197,0.945689857,0.789141357,0.783938527,0.505207181,47.63346524
40,0.347895265,0.71542573,0.079944685,0.777003407,0.24584493,0.470016539,48.67014079,0.676435232,0.728419244,0.945967674,0.789417684,0.785330236,0.504348278,47.84669837
41,0.347683549,0.716662049,0.079653613,0.776167512,0.245455578,0.464506656,49.47000557,0.67636025,0.728615761,0.94689399,0.7883991,0.785934806,0.503698468,48.05666612
42,0.346896678,0.717141032,0.079326384,0.772471547,0.243816465,0.457408696,50.7480999,0.676365376,0.729634106,0.946924865,0.787574768,0.786145687,0.502115369,48.52310905
43,0.347046047,0.716296732,0.079309888,0.764196396,0.242737323,0.454663575,52.02353954,0.676568925,0.729643106,0.946980119,0.784312606,0.787263751,0.500182509,49.22908334
44,0.346724182,0.716322482,0.079309411,0.753284454,0.242134124,0.451147228,53.80979757,0.676561236,0.729213595,0.946971297,0.779941022,0.787066102,0.493414611,50.21002287
45,0.346331328,0.715613604,0.079352662,0.739060819,0.241699308,0.433677673,56.98507771,0.676565051,0.730959654,0.94715327,0.773887753,0.786939979,0.489120603,51.62269751
46,0.346333265,0.714146733,0.079363078,0.728415668,0.241909146,0.420110852,59.14125705,0.676447153,0.730856955,0.946691871,0.765139937,0.786803484,0.479432225,53.53778565
47,0.346190751,0.712508857,0.079022519,0.715448916,0.244656876,0.403520167,61.40118338,0.67592442,0.729660153,0.945721149,0.753802538,0.786895394,0.46653071,55.94942492
48,0.346907347,0.71006006,0.082670227,0.674010456,0.262757301,0.362126797,67.7659544,0.675091088,0.727794826,0.945192695,0.71501261,0.785635591,0.43157497,63.33272461
49,0.347387284,0.710052073,0.084584437,0.652642369,0.26865083,0.348996758,71.09902023,0.674726605,0.72731328,0.944857776,0.699618518,0.784021497,0.412338525,66.61103052
50,0.347453862,0.709757268,0.085025035,0.631701291,0.287050724,0.330761313,72.69033584,0.674703658,0.725784242,0.944987118,0.686172903,0.779458582,0.397722721,68.48804907
51,0.347823232,0.709920108,0.086773321,0.615697622,0.294865102,0.323091716,74.42717516,0.674372435,0.725862801,0.943355858,0.67108047,0.773222327,0.385880738,70.69382716
52,0.348314226,0.709319234,0.090651914,0.606099844,0.299179196,0.318256766,75.90964599,0.674398482,0.725932002,0.942992091,0.664877176,0.769708812,0.380331099,71.46582262
53,0.349137962,0.708970964,0.093762264,0.590467274,0.313769549,0.310048938,76.77642918,0.674553037,0.722500682,0.942817032,0.659685969,0.764492452,0.369569272,71.60094416
54,0.349497855,0.708975255,0.097888976,0.59170115,0.318027407,0.306741714,77.30307679,0.674551368,0.720395327,0.942266643,0.655074835,0.761231184,0.365336269,71.71371596
55,0.349496484,0.708977044,0.099258378,0.585877419,0.320675075,0.300095767,78.42629913,0.674287021,0.719057739,0.940899014,0.647939086,0.758271933,0.360059768,72.54531848
56,0.350319445,0.708017528,0.108655587,0.566828668,0.335316002,0.287968218,81.19049603,0.672919154,0.718156457,0.938720703,0.628789783,0.754578292,0.344802409,75.62337159
57,0.351962268,0.70776093,0.117673814,0.552833736,0.350002676,0.276541084,83.41554809,0.672920823,0.7173841,0.937143683,0.621182024,0.752833962,0.334241718,77.29252525
58,0.353993952,0.707655072,0.121463381,0.548526824,0.350616872,0.277830124,84.13611681,0.672601998,0.716982484,0.936062813,0.617301345,0.750338316,0.328783333,77.95412783
59,0.356315553,0.707871437,0.127544224,0.543422878,0.355971724,0.272261113,85.59896738,0.672222972,0.71602267,0.934908569,0.612872899,0.747719646,0.324905753,78.41333406
60,0.356672823,0.707872152,0.133415356,0.539613307,0.36012432,0.26703018,87.25315307,0.671119332,0.715616524,0.932949185,0.609938681,0.746704519,0.322556645,79.0334256
61,0.357153624,0.708226919,0.133546084,0.53483218,0.36188823,0.266422421,87.40296124,0.670130312,0.715488315,0.932365239,0.606025815,0.744021058,0.319795281,79.31116324
62,0.357201993,0.7084831,0.133176655,0.536822677,0.36021179,0.267252058,87.35687679,0.66972971,0.715411246,0.931546867,0.60525012,0.743194759,0.319616288,79.41763422
63,0.357243955,0.709589958,0.132180184,0.538042843,0.360429853,0.268179566,87.0907587,0.669671178,0.715849161,0.931571007,0.603965878,0.742960274,0.318600088,79.66965335
64,0.357320487,0.709682047,0.131399587,0.537684321,0.361552507,0.267586619,86.84803895,0.669644415,0.715816259,0.931601644,0.605812073,0.74329412,0.318888634,79.50224258
65,0.358136028,0.709645331,0.131573305,0.538612306,0.361048549,0.268615425,86.68747464,0.670040011,0.715837419,0.931794167,0.60534668,0.743457198,0.31847468,79.59974226
66,0.358283699,0.709400356,0.132420257,0.538374901,0.361398757,0.267846614,86.88828194,0.670307994,0.71609205,0.932012737,0.605851889,0.743648529,0.318517506,79.59556288
67,0.35861057,0.708731055,0.132131845,0.537070215,0.360531509,0.268474072,86.78447046,0.670687675,0.716449916,0.932460606,0.60675931,0.744215906,0.318963528,79.54677913
68,0.3586604,0.708400965,0.131869823,0.537863076,0.359936595,0.269079,86.62673729,0.670742691,0.716821909,0.932491958,0.607167363,0.745477378,0.319280207,79.7220734
69,0.359208554,0.707304418,0.131211832,0.540599585,0.357201606,0.271264523,86.17437394,0.670697749,0.715395868,0.933321357,0.614432454,0.751527727,0.321276575,79.22469753
70,0.359340042,0.706854522,0.130423576,0.54498595,0.355005682,0.272555619,85.76343512,0.670597196,0.714571238,0.933336616,0.622158587,0.754631817,0.323840737,78.45480764
71,0.359340191,0.706253171,0.127187014,0.549346864,0.351359308,0.275105476,84.79025109,0.670596957,0.714512289,0.934679687,0.629798114,0.758950889,0.327845663,77.58720149
72,0.359080225,0.707684219,0.118217744,0.564147115,0.339250684,0.285574794,82.36176113,0.671208382,0.715460002,0.934347034,0.647239804,0.766142428,0.338452876,75.95593755
73,0.358960569,0.707294583,0.112223789,0.578377783,0.319281429,0.301427543,80.80342064,0.671256602,0.71486789,0.933365047,0.660650551,0.774198651,0.350774705,74.49975069
74,0.358959734,0.707290828,0.110430852,0.586910844,0.314748973,0.305732399,79.84016078,0.671333134,0.714864731,0.93274802,0.672877431,0.779821217,0.362994522,72.85838485
75,0.358791828,0.705851972,0.109805703,0.592210591,0.311901659,0.309526742,78.97105595,0.671411395,0.714921594,0.932813346,0.683016539,0.783148766,0.371207237,71.31831287
76,0.358781129,0.705809176,0.107997157,0.600701272,0.305270076,0.316466361,77.97686345,0.671687007,0.715240717,0.932822049,0.689925075,0.788376212,0.379565746,70.57924786
77,0.358672857,0.705511987,0.107457101,0.606082916,0.302678436,0.321092516,77.18169855,0.671774447,0.715558887,0.933470368,0.697755635,0.793882072,0.389935195,69.49883763
78,0.358639896,0.705662608,0.103256211,0.622656047,0.292827904,0.344673187,73.71334147,0.671885848,0.716318905,0.933667302,0.716635108,0.795045078,0.406312406,65.86031246
79,0.358627766,0.70584321,0.10130842,0.633282006,0.288231105,0.351772904,72.1636128,0.672492445,0.717084646,0.934341073,0.724914193,0.797565818,0.419353634,64.17302563
80,0.358926475,0.70584321,0.098656386,0.644360304,0.288916111,0.364199698,69.11037522,0.673107505,0.719065547,0.935004592,0.751726568,0.796701908,0.445261687,58.60248706
81,0.359886199,0.705480695,0.097004525,0.649931133,0.289539099,0.374975741,66.93043338,0.674806535,0.71920073,0.935864627,0.765747249,0.797782302,0.466072589,55.15140301
82,0.361405253,0.703332722,0.096946433,0.655103683,0.289477587,0.381701976,65.18194155,0.675338268,0.719264925,0.936229587,0.767087102,0.797397017,0.468995094,54.63966815
83,0.362265617,0.702539802,0.095723644,0.658424079,0.288241595,0.384482771,64.29947607,0.675913274,0.719358742,0.936467946,0.767485797,0.797361732,0.469300747,54.52534108
84,0.363545358,0.703311861,0.095405951,0.662105381,0.286267042,0.38549611,64.13084199,0.676599205,0.720380962,0.936706364,0.772467375,0.797098994,0.472087562,53.74873777
85,0.36380744,0.703605711,0.093896687,0.66378206,0.285342664,0.385914356,63.82692116,0.676827073,0.720445454,0.93695724,0.773324132,0.796885371,0.472251743,53.55972154
86,0.36379844,0.704519928,0.094009705,0.665188015,0.285607129,0.383735448,64.04971166,0.677054286,0.722109497,0.936918855,0.775889337,0.796705365,0.476443917,53.21645442
87,0.36379087,0.705386996,0.0931416,0.667979479,0.283190459,0.382909238,64.17887239,0.677030444,0.722152829,0.937235236,0.777430534,0.796540022,0.478056908,52.83453652
88,0.3636536,0.707199037,0.093050189,0.666661561,0.280941904,0.382578939,65.03920748,0.678260982,0.723809898,0.93823278,0.775069118,0.796692789,0.474470139,53.63207626
89,0.362966031,0.706751108,0.092591926,0.666251421,0.280591279,0.382170618,65.02322607,0.678261817,0.723919153,0.939729989,0.76979965,0.796632588,0.473272324,54.28657535
90,0.362877131,0.707028449,0.091747679,0.662742019,0.280761153,0.381342292,65.38792444,0.678446233,0.725107968,0.940585792,0.763798535,0.796655893,0.46475783,55.902267
91,0.362788796,0.708034217,0.091753602,0.658086479,0.281055301,0.375749171,66.60051828,0.678370416,0.725172698,0.941062093,0.754119039,0.796279311,0.450942397,58.18494382
92,0.362652808,0.708099902,0.091730177,0.650779963,0.281238675,0.373478293,67.59729963,0.678391874,0.72540772,0.94253701,0.737427592,0.79491365,0.440164387,60.98519013
93,0.361910164,0.708182693,0.091545001,0.640735805,0.28855738,0.367383957,68.22608289,0.67834264,0.725462317,0.9430089,0.7260741,0.793779016,0.429938436,63.12292567
94,0.361478627,0.7081635,0.091593124,0.635441422,0.292986959,0.362414747,68.66672477,0.677689135,0.725229621,0.94303447,0.72074753,0.793128371,0.425519943,64.04787691
95,0.361655146,0.707972586,0.107590951,0.596848488,0.322452039,0.334296912,74.32845006,0.676844358,0.721582055,0.940750122,0.68065089,0.782227278,0.391698062,70.06651776
96,0.361651212,0.706926584,0.114867628,0.578591585,0.336341918,0.316802055,77.24454337,0.674986362,0.720146298,0.940066814,0.659514546,0.769482017,0.369386524,72.42962481
97,0.361713082,0.706587732,0.12188606,0.566910863,0.342418432,0.309627712,79.6150065,0.672994792,0.720238864,0.939643264,0.646013141,0.762524962,0.358782947,73.89562416
98,0.36117655,0.70422405,0.125244081,0.559749722,0.345862031,0.306231827,80.45076048,0.670809329,0.72010541,0.937755466,0.638590932,0.760564625,0.351916313,75.26072212
99,0.361452699,0.704414725,0.131299585,0.553424478,0.350215644,0.2980102,82.66663994,0.670702696,0.720235229,0.937768579,0.625376582,0.759707153,0.344213665,77.20821872
100,0.361977488,0.704755425,0.133165166,0.546450913,0.353402555,0.290923774,83.91967796,0.670444846,0.720308125,0.937052727,0.619110465,0.757344604,0.339315921,78.07343893
101,0.362014234,0.703872502,0.142819807,0.529351592,0.364127725,0.276830345,87.29542636,0.669965386,0.72023201,0.93511945,0.603829265,0.752837598,0.327508509,80.28966235
102,0.361830503,0.703881681,0.148835585,0.52199477,0.371971577,0.264501989,89.58437439,0.667536616,0.720163047,0.931309044,0.5939188,0.747103333,0.315096259,82.12529089
103,0.361830235,0.704354465,0.152459413,0.5163607,0.377597302,0.258733839,90.77069305,0.665826976,0.720063329,0.928417563,0.58978498,0.740820229,0.306608796,82.86375831
104,0.361715674,0.704712749,0.154257566,0.511350334,0.377651989,0.261430949,91.19345936,0.664003968,0.720025599,0.92576915,0.584518313,0.738470256,0.304610342,83.58088323
105,0.361258447,0.704733729,0.154750347,0.509535193,0.379365593,0.260016382,91.39399123,0.66193974,0.72004205,0.925162137,0.582332671,0.736884713,0.299662769,83.95077768
106,0.361308277,0.704566121,0.158430025,0.507294416,0.383346677,0.256602556,92.2993375,0.6619066,0.720005572,0.923894286,0.577996433,0.734697402,0.29509154,84.68647037
